"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power","weibull_power_citable","weibull_power_status","weibull_calibration_source","weibull_empirical_alpha_nominal_05","weibull_z_critical_emp_05","weibull_z_critical_holm","weibull_p_calibrated_observed","weibull_calibration_fit_ok_rate","weibull_power_note"
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,1,10.3461361613876,2000,1,0.1,0.812,0.4635,0.812,0.4635,0.812,0.4635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,2,20.6922723227752,2000,1,0.05,0.995,0.93,0.995,0.93,0.995,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8","Firth PML","iodonor_c","eng_c:iodonor_c",10.3461361613876,2,20.6922723227752,2000,1,0.1,0.999,0.9685,0.999,0.9685,0.999,0.9685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0,0,2000,1,0.05,0.078,0.019,0.078,0.019,0.078,0.019,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0,0,2000,1,0.1,0.1445,0.0305,0.1445,0.0305,0.1445,0.0305,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0.25,-0.419266348736638,2000,1,0.05,0.1105,0.024,0.1105,0.024,0.1105,0.024,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0.25,-0.419266348736638,2000,1,0.1,0.195,0.039,0.195,0.039,0.195,0.039,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0.5,-0.838532697473277,2000,1,0.05,0.1525,0.043,0.1525,0.043,0.1525,0.043,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,0.5,-0.838532697473277,2000,1,0.1,0.241,0.067,0.241,0.067,0.241,0.067,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
"M1","Weibull AFT","fdiin_c","eng_c:fdiin_c",-1.67706539494655,1,-1.67706539494655,2000,1,0.05,0.393,0.152,0.393,0.152,0.393,0.152,FALSE,"nominal_wald_diagnostic_not_size_calibrated","weibull_bootstrap_calibration.csv",0.108108108108108,2.44501284272071,3.45515396272424,0.125125125125125,1,"Nominal survreg Wald power/MDE diagnostic; bootstrap calibration shows anti-conservative size, so this row is not size-calibrated citation-ready power."
