"spec","estimator","moderator","focal_coef","beta_focal_hat","magnitude","beta_focal_sim","n_reps","fit_ok_rate","alpha","raw_power_overall","holm_proxy_power_overall","raw_power_conditional","holm_proxy_power_conditional","raw_power","holm_proxy_power"
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,1,-4.29158817723511,2000,1,0.05,0.1885,0.046,0.1885,0.046,0.1885,0.046
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,1,-4.29158817723511,2000,1,0.1,0.2755,0.0755,0.2755,0.0755,0.2755,0.0755
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,2,-8.58317635447022,2000,1,0.05,0.4775,0.1845,0.4775,0.1845,0.4775,0.1845
"M1","Weibull AFT","domaut_c","eng_c:domaut_c",-4.29158817723511,2,-8.58317635447022,2000,1,0.1,0.614,0.2555,0.614,0.2555,0.614,0.2555
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0,0,2000,1,0.05,0.0695,0.0065,0.0695,0.0065,0.0695,0.0065
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0,0,2000,1,0.1,0.1375,0.0175,0.1375,0.0175,0.1375,0.0175
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0.25,-0.0353752569190374,2000,1,0.05,0.0745,0.01,0.0745,0.01,0.0745,0.01
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0.25,-0.0353752569190374,2000,1,0.1,0.1445,0.0175,0.1445,0.0175,0.1445,0.0175
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0.5,-0.0707505138380748,2000,1,0.05,0.071,0.0095,0.071,0.0095,0.071,0.0095
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,0.5,-0.0707505138380748,2000,1,0.1,0.141,0.0195,0.141,0.0195,0.141,0.0195
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,1,-0.14150102767615,2000,1,0.05,0.113,0.019,0.113,0.019,0.113,0.019
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,1,-0.14150102767615,2000,1,0.1,0.19,0.0385,0.19,0.0385,0.19,0.0385
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,2,-0.283002055352299,2000,1,0.05,0.1845,0.0345,0.1845,0.0345,0.1845,0.0345
"M2","Weibull AFT","stterr_c","eng_c:stterr_c",-0.14150102767615,2,-0.283002055352299,2000,1,0.1,0.2885,0.068,0.2885,0.068,0.2885,0.068
