"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged"
"S3","Firth PML","concession_resolved","Aid","(Intercept)",-3.61160409763227,3.29487782591966,0.285330868865909,-10.9890477818025,2.99150806219366,37,
"S3","Firth PML","concession_resolved","Aid","eng_c",1.22146941740359,11.9895815729482,0.922827389107898,-24.8987935673593,26.7876836097079,37,
"S3","Firth PML","concession_resolved","Aid","lnaid_c",0.266588549896002,0.337246281938398,0.442156278264066,-0.414539794024376,1.03655657420233,37,
"S3","Firth PML","concession_resolved","Aid","nonviolent_camp1",-0.872351461740337,1.32903342089525,0.519603209105006,-4.02773582564019,1.69978613229791,37,
"S3","Firth PML","concession_resolved","Aid","REGCHANGE",2.11380234052585,1.58105291971734,0.190105620254198,-1.1099994299278,5.79799181857959,37,
"S3","Firth PML","concession_resolved","Aid","v2csreprss",0.45811191936264,0.338552108593029,0.182667461704454,-0.214850638918422,1.20027423187395,37,
"S3","Firth PML","concession_resolved","Aid","lngdp",0.29354265548979,0.428787168941416,0.506548553260471,-0.561955308159795,1.2568703416586,37,
"S3","Firth PML","concession_resolved","Aid","lnlengthofcam",0.0868880181976905,0.787258542287003,0.915388659710043,-1.51787771130241,1.83968408985688,37,
"S3","Firth PML","concession_resolved","Aid","lnnum_image_sum",0.120102333766704,0.42377045988042,0.783686765572006,-0.773182228031799,1.01910097173812,37,
"S3","Firth PML","concession_resolved","Aid","eng_c:lnaid_c",30.3247196289867,14.9437770390511,0.0341938554067903,2.15826072314885,66.1816011410477,37,
"S4","Firth PML","concession_resolved","IODonor","(Intercept)",0.35653027200399,3.92271896688149,0.930806811737414,-7.9370058643757,9.17009973944966,37,
"S4","Firth PML","concession_resolved","IODonor","eng_c",-17.544083671948,15.2997647622123,0.261239303428795,-61.9554342871795,12.0330621672245,37,
"S4","Firth PML","concession_resolved","IODonor","iodonor_c",-0.130813436066698,0.150873031181372,0.42271170967379,-0.489670574401864,0.205643103841518,37,
"S4","Firth PML","concession_resolved","IODonor","nonviolent_camp1",-1.34989012122521,1.39456027975698,0.344370754569123,-4.95180296272988,1.37455625427493,37,
"S4","Firth PML","concession_resolved","IODonor","REGCHANGE",1.98467873869648,1.66572373325717,0.266751459068821,-1.80124044257179,7.45546086641436,37,
"S4","Firth PML","concession_resolved","IODonor","v2csreprss",0.300964643937737,0.366202643823849,0.47540364702942,-0.630631559402804,1.11624464795536,37,
"S4","Firth PML","concession_resolved","IODonor","lngdp",-0.00544591561240128,0.532665156767073,0.992268292880352,-1.12983707109991,1.18039529519768,37,
"S4","Firth PML","concession_resolved","IODonor","lnlengthofcam",-0.812704913559973,0.888900240705119,0.385586613316948,-3.00980091965411,1.0144761326985,37,
"S4","Firth PML","concession_resolved","IODonor","lnnum_image_sum",0.0927266054269509,0.44265491690464,0.850423488416667,-0.954615230739882,1.0623450588264,37,
"S4","Firth PML","concession_resolved","IODonor","eng_c:iodonor_c",16.7207614067406,6.08947626047693,0.00149035803401687,5.55636937645603,36.2614520119644,37,
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","0:(Intercept)",-0.351775936741734,2.52736724488604,0.88930260860969,-5.3053247124246,4.60177283894113,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","1:(Intercept)",0.748687674750313,2.53163173919289,0.767433804714807,-4.21321935618624,5.71059470568687,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","eng_c",2.37967040783131,5.3064313208344,0.653828289253281,-8.02074386743942,12.780084683102,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","fdiin_c",0.120049359669491,0.0521219873741476,0.0212654367594706,0.0178921416135105,0.222206577725472,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","nonviolent_camp1",-0.0943500090942303,0.602759210503889,0.875615130432208,-1.27573635303165,1.08703633484319,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","goalsREGCHANGE",-0.981366327069113,1.11231926551499,0.37763061696388,-3.16147202678854,1.19873937265031,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","goalsSECESSION",-0.408335598308125,1.32133760173342,0.757297186897052,-2.99810970912416,2.18143851250791,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","v2csreprss",-0.297274775727101,0.140309128350809,0.0341147281387985,-0.572275613996895,-0.0222739374573077,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lngdp",0.117346032618063,0.159490970583598,0.461880752004498,-0.195250525585126,0.429942590821252,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnpop",0.0381794217275615,0.119327887066849,0.749003284529615,-0.195698939274725,0.272057782729849,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","colonized_english1",-0.115018081659648,0.430993286792313,0.789571215127745,-0.959749401351124,0.729713238031828,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnlengthofcam",-0.0120447150124121,0.278625873295573,0.965518996228058,-0.558141391832755,0.534051961807931,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnnum_image_sum",-0.149306755804487,0.164530575607468,0.364157682548743,-0.471780758350768,0.173167246741794,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","eng_c:fdiin_c",-0.862057970689529,1.60431839269637,0.591035567265619,-4.0064642401096,2.28234829873054,97,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","0:(Intercept)",2.67911121890499,2.5356655053479,0.290707317027555,-2.29070184841745,7.64892428622742,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","1:(Intercept)",3.7931044474988,2.59337300601186,0.143572947706048,-1.28981324276283,8.87602213776042,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","eng_c",-0.727941843886896,5.29363485118602,0.89062558143233,-11.1032754995175,9.64739181174376,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","trade_c",0.230299149386398,0.151645340696629,0.12884571471628,-0.0669202568023004,0.527518555575096,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","nonviolent_camp1",-0.273990125574864,0.69583893910039,0.693761862654656,-1.63780938525219,1.08982913410246,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","goalsREGCHANGE",-0.997582627077673,1.12193251179784,0.373914646897263,-3.19652994328599,1.20136468913065,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","goalsSECESSION",-0.41641447113648,1.32889970368711,0.754012623791573,-3.02101002942915,2.1881810871562,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","v2csreprss",-0.438516406804397,0.160890877883933,0.00641941207954305,-0.753856732897938,-0.123176080710856,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lngdp",0.0816736530486243,0.174597732872959,0.639940590857285,-0.26053161516472,0.423878921261968,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnpop",-0.0517642707124333,0.136749928067787,0.705035171599675,-0.319789204613739,0.216260663188872,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","colonized_english1",-0.213003033425095,0.503185144016683,0.672069490493207,-1.19922779325339,0.773221726403204,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnlengthofcam",0.0287696372298844,0.296813775888417,0.922783381245394,-0.552974673626755,0.610513948086524,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnnum_image_sum",-0.328986064511884,0.171852537604934,0.0555753314517227,-0.665810848869369,0.00783871984560142,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","eng_c:trade_c",-3.18667133660452,3.3964609855013,0.348124749952502,-9.84361254308248,3.47026986987344,91,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","0:(Intercept)",1.30674950254075,1.99350948860518,0.512144584375088,-2.60045729796427,5.21395630304576,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","1:(Intercept)",1.36252363803915,2.0443127559433,0.505094943626161,-2.64425573674553,5.36930301282384,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","eng_c",-1.83887725444627,6.44202996045076,0.775299429212092,-14.4650239642578,10.7872694553652,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnaid_c",-0.104885370846018,0.168302676744896,0.533156448661476,-0.4347525557677,0.224981814075665,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","nonviolent_camp1",0.323487680461085,0.670696384455248,0.629581394864894,-0.991053077632431,1.6380284385546,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","REGCHANGE",-1.02404505562136,0.900081242815758,0.255235273498119,-2.7881718747003,0.740081763457575,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","v2csreprss",-0.340622316563553,0.223797458079125,0.128006186114745,-0.779257274230251,0.0980126411031457,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lngdp",0.00195330532996552,0.238181354215506,0.993456688912559,-0.464873570721403,0.468780181381334,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnlengthofcam",0.410576589865706,0.376904204845814,0.276004256425979,-0.328142077253796,1.14929525698521,44,TRUE
"S7","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Aid","lnnum_image_sum",-0.181069413481814,0.249587089147702,0.468160135982445,-0.670251119217498,0.30811229225387,44,TRUE
