"CAMPAIGN","LOCATION","ID","cow","iso3","BYEAR","EYEAR","target","success","limited","failure","ongoing","viol","NONVIOL","FSELFDET","REGCHANGE","SECESSION","OTHER","Num_Image_sum","Num_Banner_sum","Eng_Banner_sum","v2svindep","v2svdomaut","v2svinlaut","v2svstterr","v2csreprss","v2xcl_dmove","v2x_clpol","v2cldmovem","v2cldmovew","v2x_civlib","v2mecenefi","v2mecenefm","v2peedueq","v2caassemb","p_polity2","lngdp","lnpop","wdi_fdiin","wdi_import","wdi_export","aid_crsc","aid_crsio","aid_crnc","aid_crnio","ht_region","wdi_trade","wdi_eneimp","wdi_debt","dr_eg","dr_sg","dr_ig","atop_number","oecd_tiva_t1","fi_ftradeint_pd","ht_colonial","lengthofcampaign","lnlengthofcam","success3","lnnum_image_sum","lnaid","goals","eng_prob_general","nonviolent_camp","colonized","colonized_english"
"Anti-Houthi Movement","Yemen",540,679,"YEM",2015,2019,"Al-Houthi Rebel government","0","0","1",1,"0",1,0,1,0,0,1155,2749,233,1,-1.668,-1.4912,46.5254,-0.9548,0.0716,0.2096,-1.5134,-2.1444,0.1362,-2.0214,-1.7434,-2.042,-1.128,0,7.1726094757329,17.217788289172,-1.03466434522663,45.7254909852944,9.76618711540824,NA,NA,NA,NA,"3",55.4916781007027,NA,NA,40.5723648071289,37.8229736328125,47.3568222045898,3,NA,6.09068377290583,5,4,1.6094379124341,"0",7.05185562295589,NA,"REGCHANGE",0.0847580938523099,"1",1,1
"Anti-Interim Government","Kyrgyzstan",300,703,"KGZ",2010,2010,"Interim government","0","0","1",0,"0",1,0,1,0,0,73,120,7,1,0.98,0.997,90,0.81,0.633,0.716,0.923,0.518,0.626,-0.523,0.202,0.773,-0.58,4,6.8733198572138,15.5107407712833,9.860930706632,81.6785278167149,51.5543226756177,214706224,429607904,23,14,"1",133.232850492333,53.8807015810743,NA,64.4019165039062,56.6911735534668,59.3140563964844,19,NA,6.75021616607895,0,0,0,"0",4.29045944114839,20.2836969430939,"REGCHANGE",0.0583333333333333,"1",0,0
"Anti-Islamist Government Protests","Tunisia",312,616,"TUN",2013,2014,"Ennahda Party","1","0","0",0,"0",1,0,1,0,0,340,883,123,1,1.544,1.948,93.154,2.164,0.857,0.8705,2.039,1.462,0.7655,1.071,1.3845,0.785,1.85,6,8.2763151452474,16.2460152267525,2.10646325304312,53.5163999529262,43.727939574051,988729920,549661568,27,12,"3",97.2443395269773,33.0590855128766,NA,57.2889385223389,64.4748573303223,68.0053367614746,7,NA,6.70564121391583,6,1,0.693147180559945,"2",5.82894561761021,21.1540032198522,"REGCHANGE",0.139297848244621,"1",1,0
"Anti-Jovenel Moise Protests","Haiti",560,41,"HTI",2018,2019,"Moise government","0","0","1",1,"0",1,0,1,0,0,1090,2113,222,1,-0.357,0.342,92.3335,-0.455,0.7245,0.752,0.8875,1.2315,0.661,0.809,0.086,-1.93,0.835,5,7.24983670817376,16.2212323507696,0.572672336413255,36.9480171531435,11.2651542868613,NA,NA,NA,NA,"2",48.2131714400047,NA,NA,35.0687618255615,42.1313705444336,41.7103672027588,2,NA,7.80457890116822,6,1,0.693147180559945,"0",6.99393297522319,NA,"REGCHANGE",0.105063890203502,"1",1,0
"Anti-King Hamad Campaign","Bahrain",255,692,"BHR",2011,2019,"Monarchy of King Hamad","0","0","1",1,"0",1,0,1,0,0,376,1069,77,1,-0.691,-1.01133333333333,96.9996666666667,-1.85366666666667,0.347888888888889,0.118444444444444,-0.391444444444444,-0.22,0.210222222222222,-0.687666666666667,-1.88111111111111,0.882111111111111,-1.26711111111111,-10,10.0363420438075,14.1213589523743,3.37179811264623,74.0422052050106,87.9162166745566,343668,1428572,1,1,"3",161.958421879567,-61.0035419940975,NA,80.667234632704,74.4943144056532,68.2848943074544,4,NA,7.93617192966475,5,8,2.19722457733622,"0",5.92958914338989,14.3877554054141,"REGCHANGE",0.0720299345182413,"1",1,1
"Anti-Maoist Campaign","Nepal",516,790,"NPL",2012,2012,"Maoist Government","1","0","0",0,"0",1,0,1,0,0,63,104,8,1,1.203,0.821,91.462,2.019,0.774,0.912,1.365,1.231,0.839,0.988,2.299,-0.805,0.885,6,6.66070789702956,17.1235209509225,0.423691401450373,29.1716147722482,8.75029128742751,544259776,749288000,23,15,"8",37.9219060596757,15.7656618730103,NA,25.4718818664551,42.2377014160156,43.6137390136719,1,NA,6.20354121697455,0,0,0,"2",4.14313472639153,20.9806544951278,"REGCHANGE",0.0769230769230769,"1",0,0
"Anti-Martelly campaign","Haiti",524,41,"HTI",2014,2016,"Michel Matelly govt","1","0","0",0,"0",1,0,1,0,0,289,673,86,1,0.116,0.451,92.667,-0.293,0.812,0.760666666666667,1.342,1.631,0.716,1.046,0.111333333333333,-1.93,1.093,0,7.24486091816005,16.1729103612101,0.705443893693727,31.7378814625363,11.4319737782853,NA,NA,NA,NA,"2",43.1698552408215,22.0158699619565,NA,37.7175102233887,41.7595354715983,42.3562266031901,2,NA,8.27297718795299,6,2,1.09861228866811,"2",5.66642668811243,NA,"REGCHANGE",0.12778603268945,"1",1,0
"Anti-Morales Protests","Guatemala",548,90,"GTM",2017,2019,"Gov't of Guatemala (Morales)","0","0","1",1,"0",1,0,1,0,0,641,1495,169,1,1.32366666666667,1.245,88.363,1.25266666666667,0.719,0.808333333333333,1.411,0.689,0.740666666666667,0.975333333333333,0.859666666666667,-1.156,1.689,8,8.33629705934036,16.6095018116114,1.38943235728743,28.1073915382688,18.0922586180831,NA,NA,NA,NA,"2",46.1996501563519,NA,24.6783934774136,49.3383916219076,58.4758593241374,61.5503896077474,4,NA,8.30826451929384,2,2,1.09861228866811,"0",6.46302945692067,NA,"REGCHANGE",0.11304347826087,"1",1,0
"Anti-Morsi Protests","Egypt",262,651,"EGY",2013,2013,"President Morsi","1","0","0",0,"0",1,0,1,0,0,615,1125,132,1,1.158,0.855,84.727,-1.182,0.429,0.226,0.623,-0.659,0.217,-1.158,-1.348,-1.244,-2.138,-4,8.09673851493934,18.3521651514068,1.45343420769727,23.3551924317351,17.0178456245969,6917741568,1746383360,27,15,"3",40.373038056332,-6.89169048632898,NA,43.5047607421875,62.224178314209,65.5890045166016,4,NA,5.98558994941592,5,0,0,"2",6.42162226780652,22.8824567658625,"REGCHANGE",0.117333333333333,"1",1,1
"Anti-Nasheed Campaign","Maldives",515,781,"MDV",2012,2012,"President Mohammed Nasheed","1","0","0",0,"0",1,0,1,0,0,64,135,13,1,1.849,1.089,98,0.854,0.608,0.693,1.646,-0.404,0.621,0.4,0.856,1.07,-0.282,NA,9.09952325512837,12.8675717678724,7.89893947899641,NA,NA,18361484,30527972,15,8,"8",NA,NA,NA,64.1703491210938,61.1205139160156,46.1901206970215,1,NA,NA,5,0,0,"2",4.15888308335967,17.7050723279274,"REGCHANGE",0.0962962962962963,"1",1,1
