"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr"
"M1","CSO Repression",0.204641350210971,"10th",-1.4923,35.9495157457869,4.66252076425404,138.900099759023
"M1","CSO Repression",0.207369901547117,"10th",-1.4923,38.1212016799637,4.69985707759993,152.254475679122
"M1","CSO Repression",0.210098452883263,"10th",-1.4923,40.4430037939495,4.73750950103025,164.453913221872
"M1","CSO Repression",0.21282700421941,"10th",-1.4923,42.9263183049197,4.77548064008751,177.570861347564
"M1","CSO Repression",0.215555555555556,"10th",-1.4923,45.583472512945,4.81377312206738,191.827370987945
"M1","CSO Repression",0,"90th",2.2074,3.51066599615842,1.1480050948317,8.19476738470222
"M1","CSO Repression",0.00272855133614628,"90th",2.2074,3.4478722409077,1.15513431299432,7.92759705130379
"M1","CSO Repression",0.00545710267229256,"90th",2.2074,3.38665851279527,1.16039972314065,7.72515844884702
"M1","CSO Repression",0.00818565400843884,"90th",2.2074,3.32698059745351,1.16964822367187,7.52459624471473
"M1","CSO Repression",0.0109142053445851,"90th",2.2074,3.26879565755439,1.1815092096566,7.25490700755298
"M1","CSO Repression",0.0136427566807314,"90th",2.2074,3.21206218695333,1.19609559551773,6.99368918842434
"M1","CSO Repression",0.0163713080168777,"90th",2.2074,3.15673996645238,1.20378794196074,6.76812470461569
"M1","CSO Repression",0.0190998593530239,"90th",2.2074,3.1027900211227,1.21032806189268,6.53592309351443
"M1","CSO Repression",0.0218284106891702,"90th",2.2074,3.05017457912923,1.22073353794662,6.31032643735543
"M1","CSO Repression",0.0245569620253165,"90th",2.2074,2.99885703200213,1.23923294066465,6.09251975499614
"M1","CSO Repression",0.0272855133614628,"90th",2.2074,2.94880189630191,1.2539254461732,5.91037729167558
"M1","CSO Repression",0.0300140646976091,"90th",2.2074,2.89997477662725,1.25727917455947,5.74380903281875
"M1","CSO Repression",0.0327426160337553,"90th",2.2074,2.85234232991617,1.26068713660408,5.59024841010902
"M1","CSO Repression",0.0354711673699016,"90th",2.2074,2.80587223099354,1.2684421870389,5.39623867690754
"M1","CSO Repression",0.0381997187060479,"90th",2.2074,2.76053313931909,1.28027634147499,5.23463788120022
"M1","CSO Repression",0.0409282700421942,"90th",2.2074,2.71629466689255,1.2828296066744,5.03997837756611
"M1","CSO Repression",0.0436568213783405,"90th",2.2074,2.67312734727341,1.29329962699529,4.90595400864948
"M1","CSO Repression",0.0463853727144867,"90th",2.2074,2.63100260567522,1.30585826561921,4.77934290325664
"M1","CSO Repression",0.049113924050633,"90th",2.2074,2.58989273009501,1.31883469763279,4.63742011073151
"M1","CSO Repression",0.0518424753867793,"90th",2.2074,2.54977084344066,1.31872634986756,4.53270600873836
"M1","CSO Repression",0.0545710267229256,"90th",2.2074,2.51061087661997,1.31974699552338,4.40859920643309
"M1","CSO Repression",0.0572995780590718,"90th",2.2074,2.47238754255671,1.32401034876211,4.27646773041049
