"Model","Estimator","DV","Moderator","Variable","Estimate","SE","p","CI_lo","CI_hi","N","Converged"
"S4","Firth PML","concession_resolved","IODonor","eng_c:iodonor_c",16.7207614067406,6.08947626047693,0.00149035803401687,5.55636937645608,36.2614520119641,37,NA
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","0:(Intercept)",-0.351775936741719,2.52736724488605,0.889302608609695,-5.30532471242459,4.60177283894115,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","1:(Intercept)",0.748687674750328,2.53163173919289,0.767433804714803,-4.21321935618623,5.71059470568688,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","eng_c",2.37967040783132,5.3064313208344,0.653828289253279,-8.02074386743941,12.780084683102,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","fdiin_c",0.120049359669491,0.0521219873741475,0.0212654367594705,0.0178921416135105,0.222206577725472,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","nonviolent_camp1",-0.0943500090942285,0.602759210503888,0.87561513043221,-1.27573635303165,1.08703633484319,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","goalsREGCHANGE",-0.981366327069119,1.11231926551499,0.377630616963878,-3.16147202678855,1.19873937265031,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","goalsSECESSION",-0.408335598308128,1.32133760173342,0.757297186897051,-2.99810970912416,2.18143851250791,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","v2csreprss",-0.297274775727101,0.140309128350809,0.0341147281387986,-0.572275613996895,-0.0222739374573076,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lngdp",0.117346032618063,0.159490970583598,0.4618807520045,-0.195250525585126,0.429942590821251,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnpop",0.0381794217275603,0.119327887066849,0.749003284529623,-0.195698939274727,0.272057782729847,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","colonized_english1",-0.115018081659648,0.430993286792313,0.789571215127745,-0.959749401351124,0.729713238031828,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnlengthofcam",-0.0120447150124137,0.278625873295573,0.965518996228053,-0.558141391832756,0.534051961807929,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","lnnum_image_sum",-0.149306755804485,0.164530575607468,0.36415768254875,-0.471780758350765,0.173167246741796,97,TRUE
"S5","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","FDI","eng_c:fdiin_c",-0.86205797068953,1.60431839269637,0.591035567265618,-4.0064642401096,2.28234829873054,97,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","0:(Intercept)",2.67911121890495,2.5356655053479,0.290707317027562,-2.29070184841748,7.64892428622738,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","1:(Intercept)",3.79310444749876,2.59337300601186,0.143572947706051,-1.28981324276286,8.87602213776038,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","eng_c",-0.727941843886894,5.29363485118602,0.89062558143233,-11.1032754995175,9.64739181174376,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","trade_c",0.230299149386398,0.151645340696629,0.12884571471628,-0.0669202568023004,0.527518555575096,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","nonviolent_camp1",-0.273990125574868,0.69583893910039,0.693761862654653,-1.63780938525219,1.08982913410246,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","goalsREGCHANGE",-0.997582627077662,1.12193251179784,0.373914646897267,-3.19652994328598,1.20136468913065,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","goalsSECESSION",-0.416414471136473,1.3288997036871,0.754012623791577,-3.02101002942914,2.1881810871562,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","v2csreprss",-0.438516406804397,0.160890877883933,0.00641941207954309,-0.753856732897938,-0.123176080710855,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lngdp",0.0816736530486255,0.174597732872959,0.639940590857281,-0.260531615164718,0.423878921261969,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnpop",-0.051764270712432,0.136749928067787,0.705035171599682,-0.319789204613737,0.216260663188873,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","colonized_english1",-0.213003033425096,0.503185144016683,0.672069490493205,-1.19922779325339,0.773221726403202,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnlengthofcam",0.0287696372298838,0.296813775888417,0.922783381245395,-0.552974673626756,0.610513948086523,91,TRUE
"S6","bracl (MPL_Jeffreys)","success3_v2 (ongoing=limited)","Trade","lnnum_image_sum",-0.328986064511884,0.171852537604934,0.0555753314517225,-0.66581084886937,0.00783871984560119,91,TRUE
