"model","estimator","data","response","moderator","mod_direction","beta_eng_c","p_eng_c","beta_mod_c","p_mod_c","beta_int","p_int","joint_wald_p","expected_int_sign","sign_consistent","N","n_events","epv","sig_05_int","sig_10_int","epv_warning","main_panel","p_int_holm","p_int_bh","sig_05_int_holm","sig_10_int_holm","sig_05_int_bh","sig_10_int_bh","robustness_row","ph_global_p","ph_int_p","ph_focal_p","ph_flag","source_outcome","cox_estimand","interpretation_note"
"M21","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","fdiin_c","pos",-1.91167316632034,0.477877118843449,0.0160900299340818,0.584981768813586,0.815704471730841,0.22104644188125,0.395933317389132,"-",FALSE,61,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.392971452233333,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","progress_ord_ordered_navco21","",""
"M22","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","trade_c","pos",-3.87666954631576,0.197996187479377,-0.232311346804953,0.0701392827713318,0.226346046435575,0.916489134386476,0.422117255615917,"-",FALSE,60,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.960399920896641,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","progress_ord_ordered_navco21","",""
"M23","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","lnaid_c","pos",0.521396369743294,0.863997113128015,-0.0759106809526602,0.331843009998618,-3.46038800570389,0.097825682099121,0.237693235026611,"-",TRUE,59,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,0.372798305824016,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","progress_ord_ordered_navco21","",""
"M24","bracl","NAVCO 2.1","progress_ord (6-level; failure separate)","iodonor_c","pos",-1.20726763452244,0.658080483673052,0.0171961718288137,0.602427242875507,-0.0407563822640457,0.963298979336534,0.902811041557852,"-",TRUE,59,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0.963298979336534,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,"","progress_ord_ordered_navco21","",""
"M13_AG","Cox PH","NAVCO 2.1","Hazard of recurrent campaign success (CY)","fdiin_c","pos",11.9655428902844,0.147944405536008,-0.00772856230013537,0.928577949588293,-1.08223338555203,0.433913072557112,0.30784548895048,"+",FALSE,61,15,1.875,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","event_concession_broad_navco21_progress_2_4","recurrent_event_success_broad","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"M14_AG","Cox PH","NAVCO 2.1","Hazard of recurrent campaign success (CY)","trade_c","pos",20.7148927052517,0.0847911524802366,1.34308088704153,6.12587259108729e-05,2.99232184268586,0.667788440371264,0.0321440230213328,"+",TRUE,60,14,1.75,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","event_concession_broad_navco21_progress_2_4","recurrent_event_success_broad","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"M15_AG","Cox PH","NAVCO 2.1","Hazard of recurrent campaign success (CY)","lnaid_c","pos",9.04126543541561,0.237951662545091,0.221280216361373,0.388836078983667,-2.87326199598077,0.673197055014745,0.402973698813605,"+",FALSE,59,13,1.625,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","event_concession_broad_navco21_progress_2_4","recurrent_event_success_broad","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"M16_AG","Cox PH","NAVCO 2.1","Hazard of recurrent campaign success (CY)","iodonor_c","pos",8.36039518822702,0.486703190734951,0.0061316442098637,0.966912971579258,-1.34944273981168,0.742348077744207,0.7777269921222,"+",FALSE,59,13,1.625,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"PH_NOT_REPORTED_RECURRENT","event_concession_broad_navco21_progress_2_4","recurrent_event_success_broad","Recurrent-event broad-success Cox robustness estimand; first-event PH diagnostic not reported"
"M17_GEE","GEE logit","NAVCO 2.1","Yearly success (CY, source-clustered GEE)","fdiin_c","pos",8.64703834917518,0.352945580312812,0.00552551206806595,0.95787996281927,-0.914861976448167,0.621100257559561,0.648722863950506,"+",FALSE,61,15,1.5,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M18_GEE","GEE logit","NAVCO 2.1","Yearly success (CY, source-clustered GEE)","trade_c","pos",15.7040794621939,0.217994643375095,1.52867089906374,0.00614352747033742,3.57057315703535,0.759818603931047,0.433654100187096,"+",TRUE,60,14,1.4,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M19_GEE","GEE logit","NAVCO 2.1","Yearly success (CY, source-clustered GEE)","lnaid_c","pos",10.4198823890293,0.288774362945808,0.314144503324562,0.346316433429721,-4.11788531215851,0.65669531093149,0.466336756642576,"+",FALSE,59,13,1.3,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
"M20_GEE","GEE logit","NAVCO 2.1","Yearly success (CY, source-clustered GEE)","iodonor_c","pos",11.0385530949725,0.471629150424818,-0.078963829797815,0.663870918793076,-2.39053476719962,0.667569698716364,0.771144283652204,"+",FALSE,59,13,1.3,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,"","concession_bin_broad_navco21_progress_2_4","",""
