"model_id","moderator_label","eng","moderator_percentile","moderator_value","fit","lwr","upr","panel"
"M2","Trade Freedom",0.152798874824192,"10th",5.03466546121173,4.62811603392259,2.32986957899663,8.13773300138545,"Weibull AFT"
"M2","Trade Freedom",0.155527426160338,"10th",5.03466546121173,4.79723932165137,2.35255384227803,8.57986574629672,"Weibull AFT"
"M2","Trade Freedom",0.158255977496484,"10th",5.03466546121173,4.97345507235003,2.36297998889527,9.02823099469507,"Weibull AFT"
"M2","Trade Freedom",0.16098452883263,"10th",5.03466546121173,5.15708989151951,2.37345235242944,9.5279053192121,"Weibull AFT"
"M2","Trade Freedom",0.163713080168777,"10th",5.03466546121173,5.34848655810717,2.38484092025161,10.137399097486,"Weibull AFT"
"M2","Trade Freedom",0.166441631504923,"10th",5.03466546121173,5.54800487383736,2.41122281701085,10.7112960914623,"Weibull AFT"
"M2","Trade Freedom",0.169170182841069,"10th",5.03466546121173,5.75602255935973,2.42467951042097,11.3370752164211,"Weibull AFT"
"M2","Trade Freedom",0.171898734177216,"10th",5.03466546121173,5.97293619990328,2.43011219504205,12.0194993161247,"Weibull AFT"
"M2","Trade Freedom",0.174627285513362,"10th",5.03466546121173,6.19916224328343,2.45347095454551,12.7451245127819,"Weibull AFT"
"M2","Trade Freedom",0.177355836849508,"10th",5.03466546121173,6.43513805327915,2.49726379951603,13.515943319684,"Weibull AFT"
"M2","Trade Freedom",0.180084388185654,"10th",5.03466546121173,6.68132302157705,2.541946496281,14.3324193151276,"Weibull AFT"
"M2","Trade Freedom",0.182812939521801,"10th",5.03466546121173,6.93819974167,2.57623366418796,15.1798969735898,"Weibull AFT"
"M2","Trade Freedom",0.185541490857947,"10th",5.03466546121173,7.20627524830079,2.58323876980674,16.0810648301805,"Weibull AFT"
"M2","Trade Freedom",0.188270042194093,"10th",5.03466546121173,7.48608232625631,2.58938185770462,17.0466900563385,"Weibull AFT"
"M2","Trade Freedom",0.190998593530239,"10th",5.03466546121173,7.77818089254598,2.59586262735085,17.984963583513,"Weibull AFT"
"M2","Trade Freedom",0.193727144866386,"10th",5.03466546121173,8.08315945624091,2.60236445945881,18.9633117475667,"Weibull AFT"
"M2","Trade Freedom",0.196455696202532,"10th",5.03466546121173,8.40163666050754,2.60888747199677,19.9948804340502,"Weibull AFT"
"M2","Trade Freedom",0.199184247538678,"10th",5.03466546121173,8.73426291164282,2.61940013136111,21.0825647637177,"Weibull AFT"
"M2","Trade Freedom",0.201912798874825,"10th",5.03466546121173,9.08172210020866,2.6481246087977,22.2294173484561,"Weibull AFT"
"M2","Trade Freedom",0.204641350210971,"10th",5.03466546121173,9.44473341967148,2.67716913087039,23.4386568586522,"Weibull AFT"
"M2","Trade Freedom",0.207369901547117,"10th",5.03466546121173,9.82405328828024,2.70653727526483,24.7374762924745,"Weibull AFT"
