"panel","eng","fit","lwr","upr","reference_time","turning_point","turning_lo","turning_hi"
"M4: Cox PH",0.0736687575070066,0.0476343086764978,0.00790828024576495,0.259193821624429,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0768717469638329,0.0542412270853477,0.00983610022657033,0.269940163587366,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0800747364206593,0.0613077755111048,0.0120490232693785,0.281222485260322,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0832777258774857,0.0687840011960991,0.0145415315040456,0.292982432395906,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0864807153343121,0.0766051759621078,0.0172968347635484,0.305136524039004,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0896837047911384,0.0846923492649314,0.0202868738406963,0.317574848484422,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0928866942479648,0.0929534959478987,0.023473082245879,0.330161565414405,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0960896837047912,0.101285233669246,0.0268077557363238,0.342737592003724,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.0992926731616176,0.109575049057823,0.0302357928606815,0.35512562759635,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.102495662618444,0.117703940473784,0.0336965390533635,0.367137386559044,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.10569865207527,0.125549361960077,0.0371254955024899,0.378582618483124,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.108901641532097,0.132988339686731,0.040455730356089,0.389279260693092,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.112104630988923,0.139900629691876,0.0436189326783281,0.399063935913889,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.115307620445749,0.146171793359398,0.0465461568959632,0.407801992325007,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.118510609902576,0.151696082916637,0.0491684006954634,0.415396363645308,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.121713599359402,0.156379050449369,0.0514172329913073,0.421794658526576,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.124916588816229,0.160139817263775,0.0532257356212749,0.426994021856743,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.128119578273055,0.162912962741717,0.0545300369511992,0.431043412551368,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.131322567729881,0.164650010592172,0.0552716860042045,0.434043011720436,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.134525557186708,0.165320503986394,0.0554010233188933,0.436140545849411,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.137728546643534,0.164912668966595,0.0548815288068207,0.437524440420383,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.14093153610036,0.163433668318873,0.0536948591665268,0.438413967099493,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.144134525557187,0.160909447301559,0.0518459539714764,0.439046930448561,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.147337515014013,0.15738417034619,0.0493672699886797,0.439665903573068,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.150540504470839,0.152919246476826,0.046321027872261,0.440504431103359,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.153743493927666,0.147591942948143,0.0427984618381769,0.441774796934279,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.156946483384492,0.141493593167944,0.0389155181938122,0.443658772606213,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.160149472841319,0.13472741717228,0.0348051786260022,0.446302221036553,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.163352462298145,0.12740599052438,0.0306073717756881,0.449813685899027,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.166555451754971,0.119648419160362,0.0264580105459238,0.454266392050712,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.169758441211798,0.11157730106294,0.0224788593347884,0.459702624811454,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.172961430668624,0.103315577679141,0.018769667489088,0.46613932732535,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.17616442012545,0.0949833954378593,0.0154034337620629,0.473573903218577,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.179367409582277,0.0866951075808451,0.0124249983404887,0.481989509864307,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.182570399039103,0.0785565466077565,0.00985258186578541,0.491359449303167,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.18577338849593,0.0706626869661687,0.00768151591307298,0.501650527415756,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
"M4: Cox PH",0.188976377952756,0.0630957966194804,0.00588926218261865,0.512825427093795,1.46153846153846,0.134916186870713,0.0975331327144527,0.172299241026973
